,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
120,"Hong Kong, China",1971,1.42543843,0.32,0.241,1.997307182,2.282,74.264,9.286440021,..,9.129644825,0.052341269,..,0.101027172
121,"China (incl. Hong Kong, China)",1971,1.42543843,2.827,1.789,4.405592603,0.934,47.848,864.382789,45807.0339,123.5223915,7.420918394,910.1898229,677.2959715
122,Argentina,1971,0.685613409,0.318,0.237,0.891412419,3.374,60.739,82.74715278,16519.98008,67.49541805,11.19258464,99.26713286,3.823525119
123,Bolivia,1971,0,0.434,0.185,0,0.456,50.021,2.232767794,8351.634057,2.076563635,0.095569895,10.58440185,0
124,Brazil,1971,0,0.253,0.151,1.007399451,0.886,29.936,98.67787774,4133.030025,82.27429521,0.512350546,102.8109078,6.069098706
125,Cuba,1971,0.269706465,0.829,0.267,0,2.306,47.398,21.25481131,32.7380305,20.49709523,0.076759543,21.28754934,0.409676197
126,Curaçao,1971,0.155780074,11.173,8.883,7.788793351,90.151,63.375,14.5864347,..,14.5864347,0,..,0
127,Dominican Republic,1971,0.079722448,0.396,0.186,0,0.758,35.566,3.727117683,..,3.533883006,0,..,0
128,Ecuador,1971,0.274245304,0.184,0.102,0.280033053,0.55,37.314,3.925179323,182.6442753,3.55819391,0,4.107823598,0
129,El Salvador,1971,0.035077961,0.12,0.058,0,0.352,17.782,1.727494536,..,1.32216845,0,..,0
130,Guatemala,1971,0.152696996,0.158,0.077,0.181818692,0.405,19.774,2.902172657,..,2.290305877,0,..,0
131,Guyana,1971,0.022322393,0.671,0.334,0,2.102,45.791,1.548244016,0,1.510518886,0,1.548244016,0
132,Haiti,1971,0.019133352,0.055,0.025,0,0.079,5.046,0.784739242,..,0.38352359,0,..,0
133,Honduras,1971,0.022322393,0.273,0.13,0,0.392,19.309,1.45919925,..,1.138234361,0,..,0
134,Jamaica,1971,0.420934931,0.797,0.445,0.270698877,4.067,64.898,7.765943716,..,7.730835904,0,..,0
135,Nicaragua,1971,0.054211312,0.248,0.096,0,0.59,29.268,1.71031606,..,1.510123154,0,..,0
136,Panama,1971,0.436879241,0.357,0.192,1.647040243,1.607,36.143,2.63870603,..,2.530304453,0,..,0.005012505
137,Paraguay,1971,0.031875149,0.105,0.05,0,0.232,9.967,0.891220728,0.2281905,0.58136636,0,0.8914489185,0
138,Peru,1971,0.51979073,0.303,0.163,0.074675675,1.106,40.275,16.62990507,3748.178165,14.3633427,0.64086402,20.37808323,0.580020164
139,Suriname,1971,..,..,..,..,..,..,..,..,..,..,..,..
140,Trinidad and Tobago,1971,0.213656208,0.877,0.583,5.176582467,5.369,48.612,5.404680517,5957.528468,2.596909315,2.800485049,11.36220898,0
141,Uruguay,1971,0,0.249,0.192,0.265151458,1.775,50.1,5.160223394,1.1838835,4.967908185,0,5.161407277,0.066999074
142,Venezuela,1971,0.329601668,0.15,0.149,9.227109255,3.922,61.375,46.44735455,275821.7178,28.82731397,16.92615887,322.2690723,0.610314893
143,Other Non-OECD Americas,1971,0.97261458,0.156,0.135,3.244741279,1.524,38.047,6.66616894,..,6.509642971,0.005234861,..,0.119129731
144,Bahrain,1971,0.433690499,1.172,0.583,0.324061605,12.527,49.052,2.901078296,6047.225359,1.115726309,1.785351988,8.948303655,0
145,Islamic Rep. of Iran,1971,7.095302634,0.227,0.084,1.076571968,1.329,55.994,39.23488104,148250.3263,33.25944834,5.520308695,187.4852073,0.426985179
146,Iraq,1971,0.239167642,1.645,0.79,0.261364377,1.016,61.369,10.41219805,32463.09494,8.623544355,1.786059431,42.87529299,0
147,Jordan,1971,0.117989151,0.288,0.127,0,0.826,65.564,1.368548863,0.9118123,1.368209874,0,1.369460675,0
148,Kuwait,1971,0.347484303,0.27,0.171,6.358283083,16.331,52.771,14.14188892,56350.63033,4.119807254,10.01963398,70.49251925,0
149,Lebanon,1971,0.286947783,0.167,0.084,0.719226737,1.876,59.206,4.672737966,1.95173,4.626056996,0,4.674689696,0.011617454
150,Oman,1971,0.012702739,0.035,0.018,3.889349901,0.372,72.129,0.260497299,15045.70212,0.260497299,0,15.30619942,0
151,Qatar,1971,0,0.117,0.079,0,16.846,57.582,2.24946062,11437.02916,0.309030314,1.939699346,13.68648978,0
152,Saudi Arabia,1971,0.475146243,0.084,0.036,40.47274958,1.982,52.38,12.78582204,75641.58442,10.07911509,2.706380589,88.42740646,0
153,Syrian Arab Republic ,1971,0.239061679,0.988,1.15,0.782881423,0.831,54.558,5.486797546,9322.58774,5.467481959,0,14.80938529,0.019137709
154,United Arab Emirates,1971,0.022216729,0.127,0.075,0,7.14,58.122,2.476369441,39914.00764,0.416892212,2.059477229,42.39037708,0
155,Yemen,1971,0.085994567,0.21,0.13,1.138596005,0.171,39.062,1.228504466,1.1169253,1.223876079,0,1.229621391,0
156,Canada,1972,1.3393379,0.717,0.7,3.39603721,16.109,56.054,363.505258,22350.65423,224.4066136,78.19661892,385.8559123,59.74344993
157,Chile,1972,0.432367633,0.462,0.276,0.612961497,2.084,55.782,21.30096162,379.656585,15.26646143,1.205946041,21.6806182,4.404543511
158,Colombia,1972,0.625144954,..,..,0.990160371,1.214,47.074,28.90899773,4525.961553,18.39921774,3.211318837,33.43495928,6.081133004
159,Costa Rica,1972,0,0.144,0.098,0.024891892,0.755,39.491,1.498656309,..,1.44492407,0,..,0.002506452
